battery_id,start_cycle,end_cycle
EL150800453773,0,59
EL150800453773,10,69
EL150800453773,20,79
EL150800453773,30,89
EL150800453773,40,99
EL150800453773,50,109
EL150800453773,60,119
EL150800453773,70,129
EL150800453773,80,139
EL150800453773,90,149
EL150800453773,100,159
EL150800453773,110,169
EL150800453773,120,179
EL150800453773,130,189
EL150800453773,140,199
EL150800453773,150,209
EL150800453773,160,219
EL150800453773,170,229
EL150800453773,180,239
EL150800453773,190,249
EL150800453773,200,259
EL150800453773,210,269
EL150800453773,220,279
EL150800453773,230,289
EL150800453773,240,299
EL150800453773,250,309
EL150800453773,260,319
EL150800453773,270,329
EL150800453773,280,339
EL150800453773,290,349
EL150800453773,300,359
EL150800453773,310,369
EL150800453773,320,379
EL150800453773,330,389
EL150800453773,340,399
EL150800453773,350,409
EL150800453773,360,419
EL150800453773,370,429
EL150800453773,380,439
EL150800453773,390,449
EL150800453773,400,459
EL150800453773,410,469
EL150800453773,420,479
EL150800453773,430,489
EL150800453773,440,499
EL150800453773,450,509
EL150800453773,460,519
EL150800453773,470,529
EL150800453773,480,539
EL150800453773,490,549
EL150800453773,500,559
EL150800453773,510,569
EL150800453773,520,579
EL150800453773,530,589
EL150800453773,540,599
EL150800453773,550,609
EL150800460433,0,59
EL150800460433,10,69
EL150800460433,20,79
EL150800460433,30,89
EL150800460433,40,99
EL150800460433,50,109
EL150800460433,60,119
EL150800460433,70,129
EL150800460433,80,139
EL150800460433,90,149
EL150800460433,100,159
EL150800460433,110,169
EL150800460433,120,179
EL150800460433,130,189
EL150800460433,140,199
EL150800460433,150,209
EL150800460433,160,219
EL150800460433,170,229
EL150800460433,180,239
EL150800460433,190,249
EL150800460433,200,259
EL150800460433,210,269
EL150800460433,220,279
EL150800460433,230,289
EL150800460433,240,299
EL150800460433,250,309
EL150800460433,260,319
EL150800460433,270,329
EL150800460433,280,339
EL150800460433,290,349
EL150800460433,300,359
EL150800460433,310,369
EL150800460433,320,379
EL150800460433,330,389
EL150800460433,340,399
EL150800460433,350,409
EL150800460433,360,419
EL150800460433,370,429
EL150800460433,380,439
EL150800460433,390,449
EL150800460433,400,459
EL150800460433,410,469
EL150800460433,420,479
EL150800460433,430,489
EL150800460433,440,499
EL150800460433,450,509
EL150800460433,460,519
EL150800460433,470,529
EL150800460433,480,539
EL150800460433,490,549
EL150800460433,500,559
EL150800460433,510,569
EL150800460433,520,579
EL150800460433,530,589
EL150800460433,540,599
EL150800460433,550,609
EL150800460433,560,619
EL150800460433,570,629
EL150800460433,580,639
EL150800460433,590,649
EL150800460433,600,659
EL150800460433,610,669
EL150800460433,620,679
EL150800460433,630,689
EL150800460433,640,699
EL150800460433,650,709
EL150800460433,660,719
EL150800460433,670,729
EL150800460433,680,739
EL150800460433,690,749
EL150800460433,700,759
EL150800460433,710,769
EL150800460433,720,779
EL150800460433,730,789
EL150800460433,740,799
EL150800460433,750,809
EL150800460433,760,819
EL150800460433,770,829
EL150800460433,780,839
EL150800460433,790,849
EL150800460433,800,859
EL150800460433,810,869
EL150800460433,820,879
EL150800460433,830,889
EL150800460472,0,59
EL150800460472,10,69
EL150800460472,20,79
EL150800460472,30,89
EL150800460472,40,99
EL150800460472,50,109
EL150800460472,60,119
EL150800460472,70,129
EL150800460472,80,139
EL150800460472,90,149
EL150800460472,100,159
EL150800460472,110,169
EL150800460472,120,179
EL150800460472,130,189
EL150800460472,140,199
EL150800460472,150,209
EL150800460472,160,219
EL150800460472,170,229
EL150800460472,180,239
EL150800460472,190,249
EL150800460472,200,259
EL150800460472,210,269
EL150800460472,220,279
EL150800460472,230,289
EL150800460472,240,299
EL150800460472,250,309
EL150800460472,260,319
EL150800460472,270,329
EL150800460472,280,339
EL150800460472,290,349
EL150800460472,300,359
EL150800460472,310,369
EL150800460472,320,379
EL150800460472,330,389
EL150800460472,340,399
EL150800460472,350,409
EL150800460472,360,419
EL150800460472,370,429
EL150800460472,380,439
EL150800460472,390,449
EL150800460472,400,459
EL150800460472,410,469
EL150800460472,420,479
EL150800460472,430,489
EL150800460472,440,499
EL150800460472,450,509
EL150800460472,460,519
EL150800460472,470,529
EL150800460472,480,539
EL150800460472,490,549
EL150800460472,500,559
EL150800460472,510,569
EL150800460472,520,579
EL150800460472,530,589
EL150800460472,540,599
EL150800460472,550,609
EL150800460472,560,619
EL150800460472,570,629
EL150800460472,580,639
EL150800460472,590,649
EL150800460472,600,659
EL150800460472,610,669
EL150800460472,620,679
EL150800460472,630,689
EL150800460472,640,699
EL150800460472,650,709
EL150800460472,660,719
EL150800460472,670,729
EL150800460472,680,739
EL150800460472,690,749
EL150800460472,700,759
EL150800460472,710,769
EL150800460472,720,779
EL150800460472,730,789
EL150800460472,740,799
EL150800460472,750,809
EL150800460472,760,819
EL150800460472,770,829
EL150800460472,780,839
EL150800460472,790,849
EL150800460472,800,859
EL150800460472,810,869
EL150800460472,820,879
EL150800460472,830,889
EL150800460472,840,899
EL150800460481,0,59
EL150800460481,10,69
EL150800460481,20,79
EL150800460481,30,89
EL150800460481,40,99
EL150800460481,50,109
EL150800460481,60,119
EL150800460481,70,129
EL150800460481,80,139
EL150800460481,90,149
EL150800460481,100,159
EL150800460481,110,169
EL150800460481,120,179
EL150800460481,130,189
EL150800460481,140,199
EL150800460481,150,209
EL150800460481,160,219
EL150800460481,170,229
EL150800460481,180,239
EL150800460481,190,249
EL150800460481,200,259
EL150800460481,210,269
EL150800460481,220,279
EL150800460481,230,289
EL150800460481,240,299
EL150800460481,250,309
EL150800460481,260,319
EL150800460481,270,329
EL150800460481,280,339
EL150800460481,290,349
EL150800460481,300,359
EL150800460481,310,369
EL150800460481,320,379
EL150800460481,330,389
EL150800460481,340,399
EL150800460481,350,409
EL150800460481,360,419
EL150800460481,370,429
EL150800460481,380,439
EL150800460481,390,449
EL150800460481,400,459
EL150800460481,410,469
EL150800460481,420,479
EL150800460481,430,489
EL150800460481,440,499
EL150800460481,450,509
EL150800460481,460,519
EL150800460481,470,529
EL150800460481,480,539
EL150800460481,490,549
EL150800460481,500,559
EL150800460481,510,569
EL150800460481,520,579
EL150800460481,530,589
EL150800460481,540,599
EL150800460481,550,609
EL150800460481,560,619
EL150800460481,570,629
EL150800460481,580,639
EL150800460481,590,649
EL150800460481,600,659
EL150800460481,610,669
EL150800460481,620,679
EL150800460481,630,689
EL150800460481,640,699
EL150800460481,650,709
EL150800460481,660,719
EL150800460481,670,729
EL150800460481,680,739
EL150800460481,690,749
EL150800460481,700,759
EL150800460481,710,769
EL150800460481,720,779
EL150800460481,730,789
EL150800460481,740,799
EL150800460481,750,809
EL150800460481,760,819
EL150800460481,770,829
EL150800460481,780,839
EL150800460481,790,849
EL150800460481,800,859
EL150800460481,810,869
EL150800460485,0,59
EL150800460485,10,69
EL150800460485,20,79
EL150800460485,30,89
EL150800460485,40,99
EL150800460485,50,109
EL150800460485,60,119
EL150800460485,70,129
EL150800460485,80,139
EL150800460485,90,149
EL150800460485,100,159
EL150800460485,110,169
EL150800460485,120,179
EL150800460485,130,189
EL150800460485,140,199
