epoch,train_loss,val_mae,lr
1,0.14517736794160946,127.26954,0.0005
2,0.07423992734402418,121.07903,0.0005
3,0.06697472218157989,115.259094,0.0005
4,0.06442994032321232,116.33241,0.0005
5,0.06235192243808082,113.13493,0.0005
6,0.0591058568097651,111.314156,0.0005
7,0.05694476335442492,112.79715,0.0005
8,0.05475767641993506,107.441826,0.0005
9,0.05351608020386526,106.945496,0.0005
10,0.051390197327626605,114.361946,0.0005
11,0.04974218225106597,108.55079,0.0005
12,0.050481945276260376,116.79288,0.0005
13,0.04859372614217656,106.10613,0.0005
14,0.048391710434641154,119.03645,0.0005
15,0.046298243304980655,124.93912,0.0005
16,0.046059339440294673,110.508705,0.0005
17,0.04658262877325926,117.68856,0.0005
18,0.044914525534425466,129.14339,0.0005
19,0.045117865449615886,125.067055,0.00025
20,0.04240444116294384,119.84541,0.00025
21,0.042050622403621674,125.08505,0.00025
22,0.042071854296539514,121.657776,0.00025
23,0.04239150116752301,121.35501,0.00025
24,0.040973709164453406,121.38742,0.00025
25,0.03945635498634407,122.79375,0.000125
26,0.03843801990816636,123.680374,0.000125
27,0.038043940240251164,127.89307,0.000125
28,0.03783143710877214,124.092606,0.000125
29,0.03743282582477799,125.15642,0.000125
30,0.03740286108638559,124.60735,0.000125
31,0.03709552440393184,123.284615,6.25e-05
32,0.036378668887274604,124.66341,6.25e-05
33,0.036764761699097495,124.84752,6.25e-05
